date,open,close,high,low,volume
2023-07-10,10.043,10.363,10.373,10.043,467448.0
2023-07-11,10.333,10.373,10.443,10.243,380298.0
2023-07-12,10.353,10.103,10.423,10.033,419137.0
2023-07-13,10.173,10.303,10.403,10.113,363676.0
2023-07-14,10.293,10.363,10.433,10.133,327178.0
2023-07-17,10.353,10.273,10.353,10.123,256880.0
2023-07-18,10.338,10.048,10.338,10.008,361378.0
2023-07-19,10.058,10.188,10.198,9.998,294138.0
2023-07-20,10.158,10.038,10.268,10.018,235739.0
2023-07-21,10.018,9.948,10.048,9.788,253330.0
2023-07-24,9.918,10.018,10.118,9.898,224982.0
2023-07-25,10.168,10.368,10.428,10.168,447168.0
2023-07-26,10.368,10.298,10.428,10.238,256403.0
2023-07-27,10.308,10.248,10.378,10.178,224260.0
2023-07-28,10.188,10.638,10.698,10.088,579880.0
2023-07-31,10.638,10.958,11.258,10.638,750186.0
2023-08-01,10.948,10.968,11.228,10.808,387774.0
2023-08-02,10.978,10.838,11.068,10.778,289768.0
2023-08-03,10.788,10.878,10.928,10.648,302181.0
2023-08-04,10.878,10.788,10.998,10.728,477840.0
2023-08-07,10.718,10.538,10.718,10.488,340540.0
2023-08-08,10.518,10.578,10.648,10.488,186902.0
2023-08-09,10.538,10.618,10.738,10.448,275705.0
2023-08-10,10.618,10.658,10.738,10.538,219050.0
2023-08-11,10.628,10.258,10.818,10.238,444622.0
2023-08-14,10.048,10.708,10.838,10.048,586954.0
2023-08-15,10.658,10.738,10.758,10.508,339707.0
2023-08-16,10.648,10.528,10.728,10.398,314937.0
2023-08-17,10.508,10.658,10.658,10.418,247049.0
2023-08-18,10.628,10.268,10.718,10.258,394595.0
2023-08-21,10.198,10.268,10.518,10.198,282507.0
2023-08-22,10.278,10.568,10.628,10.278,422300.0
2023-08-23,10.568,10.228,10.568,10.198,365221.0
2023-08-24,10.218,9.138,10.288,9.138,1376690.0
2023-08-25,8.928,8.818,9.048,8.688,734229.0
2023-08-28,9.388,8.888,9.388,8.778,709812.0
2023-08-29,8.868,8.988,9.078,8.738,549539.0
2023-08-30,8.968,8.668,9.018,8.608,654483.0
2023-08-31,8.688,8.728,8.838,8.648,438792.0
2023-09-01,8.778,8.858,8.968,8.768,506731.0
2023-09-04,8.878,9.018,9.078,8.868,498853.0
2023-09-05,8.998,8.838,9.018,8.778,359711.0
2023-09-06,8.808,8.798,8.828,8.718,248543.0
2023-09-07,8.778,8.668,8.858,8.638,267735.0
2023-09-08,8.648,8.668,8.718,8.608,206414.0
2023-09-11,8.738,8.748,8.788,8.628,312368.0
2023-09-12,8.758,8.738,8.888,8.688,318943.0
2023-09-13,8.748,8.668,8.788,8.628,293345.0
2023-09-14,8.638,8.648,8.718,8.588,276974.0
2023-09-15,8.668,8.358,8.688,8.298,718189.0
2023-09-18,8.348,8.378,8.408,8.258,455693.0
2023-09-19,8.388,8.378,8.458,8.318,306414.0
2023-09-20,8.378,8.328,8.388,8.288,262305.0
2023-09-21,8.338,8.178,8.358,8.168,373184.0
2023-09-22,8.218,8.368,8.368,8.138,384929.0
2023-09-25,8.358,8.188,8.358,8.148,334384.0
2023-09-26,8.168,8.108,8.208,8.068,379926.0
2023-09-27,8.168,8.368,8.388,8.148,621701.0
2023-09-28,8.338,8.448,8.458,8.268,361207.0
2023-10-09,8.448,8.348,8.488,8.298,338903.0
2023-10-10,8.408,7.578,8.438,7.458,1601592.0
2023-10-11,7.588,7.668,7.808,7.588,671155.0
2023-10-12,7.728,7.868,7.978,7.728,672693.0
2023-10-13,7.788,7.708,7.838,7.688,314756.0
2023-10-16,7.728,7.678,7.778,7.658,244909.0
2023-10-17,7.738,7.778,7.848,7.668,322254.0
2023-10-18,7.718,7.608,7.758,7.598,256910.0
2023-10-19,7.588,7.458,7.618,7.458,280937.0
2023-10-20,7.438,7.358,7.498,7.328,297294.0
2023-10-23,7.378,7.208,7.388,7.108,349679.0
2023-10-24,7.258,7.198,7.278,7.078,425140.0
2023-10-25,7.488,7.358,7.578,7.308,645577.0
2023-10-26,7.248,7.398,7.418,7.198,357893.0
2023-10-27,7.378,7.498,7.528,7.278,367871.0
2023-10-30,7.438,7.448,7.518,7.388,316808.0
2023-10-31,7.468,7.408,7.478,7.348,258824.0
2023-11-01,7.408,7.368,7.438,7.338,222112.0
2023-11-02,7.368,7.298,7.428,7.288,218974.0
2023-11-03,7.288,7.288,7.348,7.238,306088.0
2023-11-06,7.298,7.418,7.438,7.298,381655.0
2023-11-07,7.398,7.378,7.428,7.328,294039.0
2023-11-08,7.338,7.308,7.358,7.208,458927.0
2023-11-09,7.288,7.328,7.458,7.258,468823.0
2023-11-10,7.288,7.218,7.298,7.128,397996.0
2023-11-13,7.218,7.338,7.338,7.188,379954.0
2023-11-14,7.338,7.298,7.408,7.268,314708.0
2023-11-15,7.358,7.368,7.398,7.318,377214.0
2023-11-16,7.348,7.278,7.358,7.268,245476.0
2023-11-17,7.278,7.238,7.288,7.198,259743.0
2023-11-20,7.228,7.248,7.268,7.128,339985.0
2023-11-21,7.248,7.278,7.408,7.218,447882.0
2023-11-22,7.238,7.188,7.328,7.188,264027.0
2023-11-23,7.168,7.208,7.218,7.088,264929.0
2023-11-24,7.188,7.178,7.288,7.148,285175.0
2023-11-27,7.158,6.998,7.178,6.938,480368.0
