date,open,close,high,low,volume
2023-11-13,5.84,5.88,5.93,5.82,127742.0
2023-11-14,5.86,5.82,5.89,5.81,99211.0
2023-11-15,5.86,5.88,5.9,5.83,115621.0
2023-11-16,5.86,5.84,5.88,5.81,105413.0
2023-11-17,5.81,5.81,5.84,5.78,74223.0
2023-11-20,5.79,5.82,5.83,5.77,83563.0
2023-11-21,5.82,5.8,5.86,5.8,105344.0
2023-11-22,5.8,5.77,5.83,5.77,74579.0
2023-11-23,5.77,5.81,5.81,5.76,84662.0
2023-11-24,5.79,5.81,5.86,5.79,115275.0
2023-11-27,5.82,5.85,5.88,5.82,108899.0
2023-11-28,5.85,5.92,5.94,5.8,165906.0
2023-11-29,5.9,6.01,6.06,5.9,194654.0
2023-11-30,6.01,5.97,6.04,5.93,104768.0
2023-12-01,5.97,6.13,6.15,5.97,195341.0
2023-12-04,6.12,6.23,6.25,6.1,205638.0
2023-12-05,6.2,6.08,6.24,6.07,167286.0
2023-12-06,6.08,6.06,6.1,6.02,142652.0
2023-12-07,6.04,6.12,6.15,5.99,276734.0
2023-12-08,6.1,6.32,6.34,6.03,537666.0
2023-12-11,6.27,6.28,6.31,6.08,489530.0
2023-12-12,6.26,6.19,6.27,6.15,212231.0
2023-12-13,6.14,6.11,6.21,6.1,120702.0
2023-12-14,6.14,6.14,6.18,6.07,95821.0
2023-12-15,6.16,6.09,6.18,6.08,102539.0
2023-12-18,6.05,6.05,6.13,6.04,91768.0
2023-12-19,6.04,6.04,6.08,5.98,91410.0
2023-12-20,6.06,6.02,6.13,6.01,109509.0
2023-12-21,6.01,5.99,6.03,5.94,105596.0
2023-12-22,6.0,5.99,6.1,5.96,144289.0
2023-12-25,5.96,6.0,6.01,5.87,96691.0
2023-12-26,6.01,5.91,6.13,5.91,138998.0
2023-12-27,5.9,5.94,5.99,5.88,96683.0
2023-12-28,5.95,5.9,5.96,5.86,190298.0
2023-12-29,5.88,5.85,5.89,5.82,147358.0
2024-01-02,5.87,6.02,6.06,5.84,279904.0
2024-01-03,6.0,6.11,6.13,5.99,198069.0
2024-01-04,6.13,6.17,6.22,6.09,222936.0
2024-01-05,6.16,6.19,6.31,6.13,275098.0
2024-01-08,6.2,6.14,6.22,6.09,193415.0
2024-01-09,6.12,6.18,6.22,6.08,134199.0
2024-01-10,6.12,6.11,6.2,6.09,120257.0
2024-01-11,6.08,6.01,6.11,6.0,135887.0
2024-01-12,6.02,6.0,6.09,6.0,103722.0
2024-01-15,5.99,6.02,6.03,5.95,96020.0
2024-01-16,5.98,5.98,6.01,5.9,168321.0
2024-01-17,5.97,5.83,6.03,5.82,100030.0
2024-01-18,5.83,5.68,5.85,5.5,250594.0
2024-01-19,5.66,5.64,5.71,5.59,114564.0
2024-01-22,5.65,5.32,5.66,5.29,163906.0
2024-01-23,5.31,5.44,5.47,5.26,125515.0
2024-01-24,5.46,5.59,5.59,5.38,118254.0
2024-01-25,5.58,5.86,5.88,5.54,266529.0
2024-01-26,5.88,5.97,6.06,5.84,208441.0
2024-01-29,5.97,5.89,5.98,5.83,165117.0
2024-01-30,5.78,5.74,5.9,5.74,169634.0
2024-01-31,5.75,5.66,5.85,5.62,160645.0
2024-02-01,5.68,5.49,5.69,5.47,166889.0
2024-02-02,5.5,5.38,5.58,5.26,216843.0
2024-02-05,5.36,5.12,5.41,5.06,298175.0
2024-02-06,5.08,5.34,5.49,4.99,270074.0
2024-02-07,5.35,5.6,5.62,5.27,261737.0
2024-02-08,5.6,5.92,5.98,5.57,344803.0
2024-02-19,5.91,5.97,6.03,5.84,299631.0
2024-02-20,5.94,5.91,5.99,5.87,197797.0
2024-02-21,5.86,5.88,5.99,5.85,259799.0
2024-02-22,5.87,6.12,6.16,5.85,347923.0
2024-02-23,6.16,6.06,6.23,6.04,254880.0
2024-02-26,6.05,5.86,6.08,5.83,262648.0
2024-02-27,5.87,5.87,5.89,5.8,208989.0
2024-02-28,5.88,5.74,5.91,5.74,246656.0
2024-02-29,5.71,5.79,5.8,5.71,149720.0
2024-03-01,5.77,5.89,5.93,5.76,213539.0
2024-03-04,5.87,5.91,5.94,5.83,162079.0
2024-03-05,5.91,5.87,5.96,5.84,147004.0
2024-03-06,5.88,6.19,6.49,5.86,942321.0
2024-03-07,6.2,6.3,6.48,6.16,700479.0
2024-03-08,6.25,6.35,6.38,6.16,406457.0
2024-03-11,6.37,6.1,6.37,6.03,430863.0
2024-03-12,6.1,5.91,6.1,5.88,372342.0
2024-03-13,5.89,5.94,5.95,5.86,227458.0
2024-03-14,5.93,5.93,6.0,5.91,200291.0
2024-03-15,5.92,5.92,5.92,5.79,208537.0
2024-03-18,5.92,5.83,5.93,5.77,353471.0
2024-03-19,5.83,5.81,5.86,5.79,256605.0
2024-03-20,5.81,5.8,5.86,5.76,215183.0
2024-03-21,5.79,5.77,5.81,5.75,190821.0
2024-03-22,5.77,5.77,5.84,5.74,186586.0
2024-03-25,5.75,5.72,5.83,5.71,199151.0
2024-03-26,5.71,5.64,5.73,5.59,199066.0
2024-03-27,5.63,5.64,5.71,5.63,135891.0
2024-03-28,5.62,5.66,5.72,5.59,128053.0
2024-03-29,5.66,5.78,5.79,5.64,139471.0
2024-04-01,5.81,5.78,5.81,5.73,135527.0
2024-04-02,5.77,5.81,5.85,5.77,146985.0
2024-04-03,5.81,5.97,5.98,5.8,288755.0
2024-04-08,5.95,6.09,6.19,5.9,374123.0
2024-04-09,6.07,6.22,6.23,6.05,293117.0
2024-04-10,6.18,6.14,6.29,6.08,305095.0
2024-04-11,6.12,6.27,6.39,6.11,313229.0
2024-04-12,6.27,6.3,6.39,6.19,237773.0
2024-04-15,6.31,6.34,6.39,6.2,279549.0
2024-04-16,6.35,6.23,6.45,6.22,294060.0
2024-04-17,6.24,6.34,6.36,6.2,250096.0
2024-04-18,6.34,6.28,6.43,6.24,248006.0
2024-04-19,6.25,6.29,6.37,6.24,217856.0
2024-04-22,6.26,6.09,6.33,6.08,239280.0
2024-04-23,5.85,5.53,5.88,5.5,593667.0
2024-04-24,5.52,5.41,5.54,5.32,391867.0
2024-04-25,5.39,5.57,5.61,5.37,344824.0
2024-04-26,5.53,5.48,5.6,5.42,270702.0
2024-04-29,5.47,5.52,5.53,5.39,262284.0
2024-04-30,5.5,5.51,5.58,5.49,191683.0
2024-05-06,5.56,5.81,5.82,5.53,336994.0
2024-05-07,5.84,5.72,5.84,5.7,182315.0
2024-05-08,5.73,5.74,5.82,5.72,190718.0
2024-05-09,5.72,5.82,5.83,5.72,170736.0
2024-05-10,5.8,5.93,5.94,5.8,212407.0
