code,MARKET_CAP,EP,BP,DIVIDEND_YIELD,ROE,ROE_STABILITY,PROFIT_GROWTH,OCF_TO_REVENUE,MOMENTUM_20,MOMENTUM_60,VOLATILITY_20,TURNOVER_STABILITY,VOLUME_PRICE_DIVERGENCE,INDUSTRY,LIST_DATE
603801.SH,6875628054.75,0.0865669427201923,0.4782438754810004,0.028299653979238754,19.19,0.1507202243080811,10.76,0.05986159169550173,0.056286549707602385,-0.07073954983922837,0.5836698948366059,1.4006944365674767,-0.7799398375521653,轻工制造,2010-01-01
002508.SZ,22700655276.0,0.07540999065852708,0.46355220219420207,0.025042193130502217,16.78,0.20157753045548207,10.2,0.057473885873283774,-0.05148617661056554,0.14152564436344695,0.160192899548151,2.53930825281728,0.028052212346209644,家用电器,2010-01-01
600089.SH,77407517552.36,0.18319334095136736,0.7823884791481305,0.04819367854741089,18.41,0.12500495445776216,-32.75,0.17182246133154003,-0.027468933943754048,0.108047690014903,0.30601535867675533,1.694958773795395,-0.6691138827532467,电力设备,2010-01-01
002304.SZ,147104361476.1,0.07144219433236755,0.3530725722206504,0.02257801976387489,20.34,0.25794020652502164,6.8,0.023035215014205992,-0.01964200503811875,-0.12594857182432495,0.2889732191341226,2.8444944387624327,-0.45452838965450504,食品饮料,2010-01-01
600760.SH,100279905278.07,0.029997909268715397,0.15052877227801556,0.009293733124911184,20.96,0.17414573059837637,30.47,-0.02259485576239875,-0.05429377771804855,-0.13983620584280643,0.2031074801975083,4.42242995600401,-0.15745693080297493,国防军工,2010-01-01
603259.SH,135461081960.2,0.07091888676084555,0.40692465475464457,0.023395578450311226,18.99,0.16788910509678745,9.0,0.05377882712074599,-0.2478879302613406,-0.3940694498634413,0.7539466853131324,3.052063686791912,0.19796758890610894,医药生物,2010-01-01
600968.SH,35984468864.46,0.0756042327326064,0.684393840485549,0.027596358118361152,13.13,0.2525473840086814,27.52,0.11532625189681336,0.06462035541195466,0.2697495183044314,0.28777087702928933,3.1850207575086316,-0.35791862694955673,石油石化,2010-01-01
002251.SZ,2957569658.56,0.05,0.967692249169258,0.02,-39.42,17.262762121352576,25.5,-0.22301136363636365,0.04761904761904767,-0.11335012594458438,0.5216478318428923,2.6603657409985404,0.13851252444052017,商贸零售,2010-01-01
600258.SH,15922760576.76,0.04993309596793959,0.6993648550221551,0.015614035087719297,7.35,0.3714400136670994,237.85,0.13121345029239767,-0.0393258426966292,-0.08187919463087256,0.3499884116346249,2.6012248748961095,0.17744730525943467,社会服务,2010-01-01
002233.SZ,8846680618.72,0.0838183796092889,1.351036450314932,0.031962710171466624,6.39,0.4940363861265744,178.55,0.083236224404861,0.03801624330395703,0.05999647079583559,0.2400943963959513,1.6706688434587,-0.7100757676078929,建筑材料,2010-01-01
000333.SZ,447546015495.28,0.0753440625985837,0.36393760471735925,0.025824137449364435,22.23,0.15767985028467144,14.1,0.07193742142757369,-0.0065912717685423505,0.21591439853934014,0.2614224355166441,4.282515750184739,0.10147966943493815,家用电器,2010-01-01
600276.SH,293242734535.78,0.014345431929296859,0.13799419585372705,0.0044962641334773314,10.99,0.3463572585430889,10.14,0.013224306274933326,0.047804900579663245,0.02763244320626934,0.3625953485431715,1.564344457822895,-0.4069310987016917,医药生物,2010-01-01
600196.SH,61652238262.77,0.03870525841752729,0.7410073496962182,0.011875639371969933,5.29,0.4418580147770846,-36.04,0.028465952052662013,-0.10258252504690057,-0.07678725413706733,0.27372266379951987,2.676408930103747,-0.20507870596625244,医药生物,2010-01-01
601699.SH,61892256348.0,0.1279901390662905,0.7765180989013675,0.042533839815954204,16.37,0.11683334020689055,-44.11,0.07918249424856884,-0.2699113315886098,-0.050302322036481995,0.5059704884339719,2.3651413944898447,0.43031382943686375,煤炭,2010-01-01
300498.SZ,126388589551.0,0.05,0.25529497413166236,0.02,-17.6,0.15987207675906046,-220.81,0.031229454306377382,0.0049554013875123815,-0.040983606557377095,0.31002035838622993,2.741275355961634,-0.1963444134357196,农林牧渔,2010-01-01
002396.SZ,9898548882.6,0.04292052339169577,0.6498611194798782,0.017761679960931143,6.78,0.2830739984175632,-26.36,0.09400944164089207,-0.034499017681728916,-0.06063154675433913,0.3643575774917988,4.079203224094812,-0.2187647780175879,通信,2010-01-01
601010.SH,3936240000.0,0.04383696093836536,1.1208259447086026,0.013896037056098817,3.93,1.4200188810798149,206.07,0.09521358723623262,0.0,-0.13374944271065525,0.18975670755045138,5.263234467434535,-0.09080576170052504,商贸零售,2010-01-01
002371.SZ,162057658150.4,0.021910963858381118,0.15035971275809742,0.00981605098485387,17.88,0.184509053734954,65.73,0.009910758728578538,0.04626172352703217,0.246146774256077,0.2715491413080064,4.224942555723586,-0.5033619557248532,电子,2010-01-01
600436.SH,137870048829.2,0.020190795054049356,0.09702125677037977,0.0062750755082720995,22.64,0.158509847027416,13.15,0.008249560474237028,0.021410811308592015,-0.06246566079202065,0.20714515235699488,2.8731727783947347,-0.6396004973105943,医药生物,2010-01-01
603898.SH,2851355595.92,0.08013872905141467,1.0522332477443301,0.023669972948602343,7.12,0.1984590532936648,-49.6,0.08397204688908927,0.0033928975344943435,-0.14790626200537849,0.3370701671003626,2.0572379389226794,-0.10652216620278068,轻工制造,2010-01-01
600859.SH,15130209181.83,0.0282782140963565,1.3038264032330618,0.014366715194237989,3.65,1.128987663295526,264.14,0.12182974484713815,-0.10185121464455305,-0.17194340460630664,0.28661995115421546,5.3460929949421585,-0.3530831443041992,商贸零售,2010-01-01
