code,MARKET_CAP,EP,BP,DIVIDEND_YIELD,ROE,ROE_STABILITY,PROFIT_GROWTH,OCF_TO_REVENUE,MOMENTUM_20,MOMENTUM_60,VOLATILITY_20,TURNOVER_STABILITY,VOLUME_PRICE_DIVERGENCE,INDUSTRY,LIST_DATE
600210.SH,3650302323.47154,0.06722202591996318,1.003561264262866,0.011338326705070274,0.038867526174164314,33.752581776899206,-0.2593710839706591,0.0695689178038966,-0.02358490566037752,-0.128421052631579,0.16800913153885408,2.5033984458203618,-0.30165564165605824,综合,2010-01-01
601766.SH,12005343546.929562,0.029248092534786465,0.840620253488754,0.02503849209456463,0.1281190645891759,33.33238651779901,0.1591921035125891,0.177625690168344,0.006437768240343367,-0.07495069033530566,0.12413806427878861,3.405679482338939,-0.16898203994611294,机械设备,2010-01-01
002110.SZ,48098365298.53102,0.056882497135251495,1.1993406989204864,0.028057565852254322,0.11045596240449905,41.13820204303098,-0.036554190605758846,-0.028210001254344197,-0.06264501160092795,-0.17886178861788615,0.11200318423091142,2.612190493319166,-0.1788344381880485,钢铁,2010-01-01
000776.SZ,1078755846.4978209,0.05304318172542745,0.656216670266107,0.01800424943402137,0.14728331980262857,65.87082198283706,0.05463869308277207,0.2228998699394102,-0.008257638315441795,-0.03576381286037522,0.11316212879830491,3.6430238428575286,-0.17228649624979328,非银金融,2010-01-01
002202.SZ,2319783834.4502816,0.02478908510618678,0.71957513219358,0.0295158345036583,0.09485034094102818,26.33244838284416,-0.014143055656693715,0.1461246825019216,-0.08271604938271604,-0.17352614015572865,0.2434218192990139,3.7238411679339567,-0.1877825771923634,电力设备,2010-01-01
601100.SH,7690537915.56083,0.020159242349987262,0.8815379387778062,0.02968680505901351,0.009989845185774365,29.742714733692257,0.40208065809624893,0.18862658642077573,0.022322302721754506,-0.08611937685979343,0.35816159923043367,2.0146655080313938,-0.23023819692852357,机械设备,2010-01-01
002311.SZ,16065598687.919537,0.06371737028527016,0.4455561911230696,0.006174480009420604,0.07818352892459707,30.908627463142718,0.10617528827028021,0.041463278467299705,-0.002941176470588225,-0.06267281105990785,0.2651396661388491,2.952413300013287,-0.27695607963195285,农林牧渔,2010-01-01
000157.SZ,15615840887.785507,0.08408170925882816,0.9630750218247489,0.0035125305082947798,0.1132217129502774,45.418105705391994,0.22645540863566604,0.08886239802567071,0.050724637681159424,-0.006849315068493178,0.16557917341062492,3.830471205945549,-0.252193075604874,机械设备,2010-01-01
002293.SZ,2739515101.7900224,0.04258646021112334,0.7317848349819642,0.018813083123609457,0.060214484654242534,23.93403845658074,-0.21681662331968835,0.13379565099043975,-0.019083969465648942,-0.15645514223194756,0.31565939809529525,2.945024768904799,-0.14374377040519934,纺织服饰,2010-01-01
000768.SZ,3909320452.466388,0.021574760549893424,0.8970973428141193,0.01301076762919237,0.07084887989137631,77.69440509256324,0.3386653133308226,0.14752996378424788,-0.020853080568720483,-0.051423324150596916,0.3702837742594026,1.8039144381572438,-0.49706574303527107,国防军工,2010-01-01
300496.SZ,1574181988.6381316,0.03870632018791404,0.739020604158044,0.00818328325029156,-0.043379687105784825,23.904902801477515,0.2377869725670862,0.08302561782147128,-0.14040128449670441,-0.07592078282762749,0.3214716190646822,2.924609290728843,0.19096357718884643,计算机,2010-01-01
600023.SH,29633861858.35414,0.043200092984943664,0.40947546367945514,0.014160057005083711,0.08619036129639951,20.232919494169213,0.349066763301657,0.08384268139931111,0.049411764705882266,0.2054054054054053,0.33910912857940384,2.1795752472999723,-0.3635135915644241,公用事业,2010-01-01
000063.SZ,2457370621.6738133,0.04349261111467334,0.9988791355979799,0.010643506271669167,0.12363080035530297,29.220414388538938,0.08326981839021089,0.0022823968388341193,-0.0625,-0.24903100775193798,0.4171082852472083,2.66390698972734,-0.3930590512331354,通信,2010-01-01
601985.SH,9070617532.999899,0.060506776687586916,0.5210029269641302,0.028061263598998142,0.07328789688252081,22.465289519326458,0.2007384283308852,0.10395630575364287,0.13393528969149737,0.07566024268379734,0.21568401007702123,2.3792749546693117,-0.578140093216875,公用事业,2010-01-01
300014.SZ,1296848700.818491,0.07349489952938126,0.8194791827084686,0.015073347337744387,0.03275507783092309,36.47682252318588,0.2798593178344325,0.10394564341247317,-0.05234949520129628,-0.1323747575031381,0.4161697931963309,2.6932403247701777,-0.5024998599214032,电力设备,2010-01-01
002157.SZ,11120419343.373951,0.07011878678102626,1.143243386086001,0.02967377399825877,0.14855072615446896,33.42351928105642,0.3591362662891102,0.10787280515223081,-0.011627906976744318,-0.06934306569343074,0.3087045292734118,2.3495419454990767,-0.5879096271622699,农林牧渔,2010-01-01
600886.SH,1943172028.012336,0.06361132370322657,1.0625200586691421,0.024345530907439142,0.10760952116343002,20.37894996085957,0.16336927981764474,0.16434939018843656,0.06102212051868805,0.12997562956945563,0.23661889854569046,2.1849074012301477,0.2883074374798309,公用事业,2010-01-01
601628.SH,770550183.6705319,0.03577023351103763,0.9361632970248916,0.022339688418720763,0.052599933583225095,23.656858080793658,-0.09390641293170623,0.061532100886744164,-0.062196378625055226,-0.29533764725402356,0.2829569264104887,2.357577926673176,0.048272469789347586,非银金融,2010-01-01
002304.SZ,10640759397.199415,0.0618910898713004,0.9953447801753608,0.024676146344696,0.08859063808485412,92.40033698514259,-0.012046284508973298,0.0708815785911768,-0.09766292617659411,-0.1791885433046383,0.3224347659509632,2.871423677059537,0.12722854039488712,食品饮料,2010-01-01
