date,open,close,high,low,volume
2020-01-02,5.45,5.53,5.62,5.42,169287.0
2020-01-03,5.59,5.64,5.67,5.54,187695.0
2020-01-06,5.59,5.68,5.75,5.56,197011.0
2020-01-07,5.73,5.75,5.85,5.62,280525.0
2020-01-08,5.72,5.6,5.77,5.57,255388.0
2020-01-09,5.66,5.77,5.77,5.62,246830.0
2020-01-10,5.76,5.63,5.77,5.57,203263.0
2020-01-13,5.63,5.67,5.68,5.53,146514.0
2020-01-14,5.68,5.59,5.76,5.56,165755.0
2020-01-15,5.56,5.53,5.57,5.47,141842.0
2020-01-16,5.55,5.51,5.59,5.48,104397.0
2020-01-17,5.52,5.41,5.53,5.37,127095.0
2020-01-20,5.41,5.47,5.48,5.33,121037.0
2020-01-21,5.46,5.56,5.62,5.35,267567.0
2020-01-22,5.59,5.52,5.6,5.4,227615.0
2020-01-23,5.47,5.18,5.47,5.1,230900.0
2020-02-03,4.66,4.66,4.67,4.66,69670.0
2020-02-04,4.21,4.51,4.6,4.21,179364.0
2020-02-05,4.55,4.59,4.68,4.53,140705.0
2020-02-06,4.6,4.7,4.74,4.56,148838.0
2020-02-07,4.75,4.84,4.85,4.67,174659.0
2020-02-10,4.81,4.89,4.9,4.77,134087.0
2020-02-11,4.89,4.81,4.9,4.8,105605.0
2020-02-12,4.83,4.96,4.97,4.8,155453.0
2020-02-13,4.97,4.94,5.1,4.86,207717.0
2020-02-14,4.9,5.1,5.34,4.87,288611.0
2020-02-17,5.07,5.22,5.24,5.04,215639.0
2020-02-18,5.22,5.53,5.68,5.18,455741.0
2020-02-19,5.45,5.43,5.77,5.38,394398.0
2020-02-20,5.41,5.53,5.58,5.35,337576.0
2020-02-21,5.56,5.86,5.88,5.51,583200.0
2020-02-24,5.75,6.01,6.04,5.66,582989.0
2020-02-25,5.82,5.94,6.01,5.52,518897.0
2020-02-26,5.74,5.58,5.91,5.56,334362.0
2020-02-27,5.64,5.59,5.72,5.53,218609.0
2020-02-28,5.37,5.16,5.46,5.13,268667.0
2020-03-02,5.2,5.4,5.44,5.19,171155.0
2020-03-03,5.5,5.45,5.62,5.4,207896.0
2020-03-04,5.4,5.47,5.51,5.32,161631.0
2020-03-05,5.54,5.6,5.64,5.46,239689.0
2020-03-06,5.58,5.48,5.58,5.43,168210.0
2020-03-09,5.42,5.25,5.45,5.23,158435.0
2020-03-10,5.19,5.48,5.49,5.12,226871.0
2020-03-11,5.5,5.4,5.61,5.38,207914.0
2020-03-12,5.3,5.21,5.35,5.19,170501.0
2020-03-13,4.85,5.16,5.19,4.84,192729.0
2020-03-16,5.2,4.96,5.21,4.93,166081.0
2020-03-17,4.99,4.98,5.15,4.84,112318.0
2020-03-18,5.0,4.92,5.1,4.92,113477.0
2020-03-19,4.89,4.94,4.99,4.82,115808.0
2020-03-20,4.99,4.97,5.02,4.87,87157.0
2020-03-23,4.85,4.7,4.86,4.68,127638.0
2020-03-24,4.77,4.81,4.86,4.7,102440.0
2020-03-25,4.93,4.85,4.95,4.8,122444.0
2020-03-26,4.84,4.71,4.85,4.68,112281.0
2020-03-27,4.76,4.71,4.81,4.7,87718.0
2020-03-30,4.65,4.52,4.7,4.47,105872.0
2020-03-31,4.57,4.49,4.59,4.48,63846.0
2020-04-01,4.45,4.51,4.6,4.44,63361.0
2020-04-02,4.49,4.66,4.66,4.49,90568.0
2020-04-03,4.65,4.54,4.67,4.51,72610.0
2020-04-07,4.6,4.7,4.71,4.6,102038.0
2020-04-08,4.72,4.71,4.77,4.67,82876.0
2020-04-09,4.73,4.78,4.81,4.72,81171.0
2020-04-10,4.81,4.64,4.81,4.62,73574.0
2020-04-13,4.59,4.53,4.63,4.52,63384.0
2020-04-14,4.58,4.63,4.63,4.54,47843.0
2020-04-15,4.66,4.58,4.66,4.56,61349.0
2020-04-16,4.56,4.61,4.66,4.55,58702.0
2020-04-17,4.61,4.63,4.71,4.61,66631.0
2020-04-20,4.68,4.65,4.68,4.6,58011.0
2020-04-21,4.63,4.57,4.64,4.5,65861.0
2020-04-22,4.51,4.76,4.78,4.51,165040.0
2020-04-23,4.76,4.75,4.81,4.71,122506.0
2020-04-24,4.78,4.66,4.81,4.63,78687.0
2020-04-27,4.68,4.68,4.8,4.65,120939.0
2020-04-28,4.77,4.76,4.84,4.53,172793.0
2020-04-29,4.69,4.72,4.78,4.65,102453.0
2020-04-30,4.76,4.92,4.92,4.74,209711.0
2020-05-06,4.88,5.04,5.05,4.86,232358.0
2020-05-07,5.01,4.92,5.05,4.9,185768.0
2020-05-08,4.95,4.98,5.07,4.92,220120.0
2020-05-11,5.0,4.89,5.03,4.86,195893.0
2020-05-12,4.9,4.87,4.9,4.78,159197.0
2020-05-13,4.83,4.88,4.9,4.81,97174.0
2020-05-14,4.85,4.95,5.02,4.81,187765.0
2020-05-15,4.98,5.07,5.16,4.93,304968.0
2020-05-18,5.15,5.17,5.29,5.06,338772.0
2020-05-19,5.14,5.32,5.38,5.1,321336.0
2020-05-20,5.25,5.24,5.4,5.17,296389.0
2020-05-21,5.25,5.34,5.48,5.22,378529.0
2020-05-22,5.36,5.25,5.43,5.19,288827.0
2020-05-25,5.2,5.29,5.47,5.2,239672.0
2020-05-26,5.28,5.61,5.65,5.24,466900.0
2020-05-27,5.55,5.5,5.61,5.42,276211.0
2020-05-28,5.47,5.35,5.49,5.23,292089.0
2020-05-29,5.31,5.27,5.44,5.23,203087.0
2020-06-01,5.33,5.5,5.58,5.3,327955.0
2020-06-02,5.48,5.39,5.5,5.34,278482.0
2020-06-03,5.4,5.34,5.48,5.29,218254.0
