date,open,close,high,low,volume
2020-01-02,7.476,7.676,7.726,7.406,609319.0
2020-01-03,7.666,7.796,7.886,7.596,543097.0
2020-01-06,7.776,7.886,7.986,7.736,524931.0
2020-01-07,7.926,7.896,7.986,7.786,320816.0
2020-01-08,7.796,7.696,7.866,7.646,417972.0
2020-01-09,7.786,7.696,7.846,7.646,429058.0
2020-01-10,7.716,7.716,7.896,7.706,360563.0
2020-01-13,7.786,8.076,8.076,7.626,558686.0
2020-01-14,8.126,8.686,8.906,8.096,1492200.0
2020-01-15,8.706,8.706,8.886,8.506,953280.0
2020-01-16,8.656,8.576,8.716,8.496,521723.0
2020-01-17,8.576,8.446,8.676,8.426,351315.0
2020-01-20,8.436,8.566,8.626,8.336,397734.0
2020-01-21,8.726,8.686,8.896,8.286,600784.0
2020-01-22,8.666,8.736,8.806,8.476,411988.0
2020-01-23,8.646,8.346,8.716,8.186,474743.0
2020-02-03,7.486,7.486,7.626,7.486,174269.0
2020-02-04,7.326,7.556,7.636,7.326,694573.0
2020-02-05,7.576,7.716,7.886,7.496,530002.0
2020-02-06,7.776,8.006,8.156,7.596,607832.0
2020-02-07,7.996,8.406,8.506,7.906,679346.0
2020-02-10,8.366,8.396,8.506,8.206,567899.0
2020-02-11,8.406,8.126,8.426,8.116,424653.0
2020-02-12,8.196,8.206,8.226,8.056,341454.0
2020-02-13,8.166,7.996,8.196,7.926,450973.0
2020-02-14,8.006,7.936,8.126,7.876,308027.0
2020-02-17,8.036,8.576,8.676,7.986,772895.0
2020-02-18,8.596,8.676,8.726,8.496,569156.0
2020-02-19,8.626,9.046,9.346,8.586,943336.0
2020-02-20,9.086,9.176,9.436,9.086,838287.0
2020-02-21,9.126,9.486,9.686,9.106,951274.0
2020-02-24,9.206,9.696,9.826,9.136,974099.0
2020-02-25,9.426,9.536,9.746,9.196,693907.0
2020-02-26,9.266,9.266,9.656,9.226,684406.0
2020-02-27,9.406,10.136,10.216,9.336,1398300.0
2020-02-28,9.756,9.636,10.356,9.496,1028445.0
2020-03-02,9.886,10.226,10.616,9.886,903808.0
2020-03-03,10.486,10.076,10.516,9.966,780248.0
2020-03-04,10.326,10.646,10.656,10.246,809189.0
2020-03-05,10.816,11.216,11.596,10.586,952041.0
2020-03-12,10.976,10.486,10.976,10.076,1083331.0
2020-03-13,9.766,9.996,10.286,9.626,731730.0
2020-03-16,10.016,9.986,10.676,9.726,807504.0
2020-03-17,10.086,10.066,10.756,9.576,644564.0
2020-03-18,10.106,9.356,10.366,9.276,725911.0
2020-03-19,9.356,9.256,9.566,8.876,601116.0
2020-03-20,9.376,9.606,9.876,9.296,506891.0
2020-03-23,9.286,9.536,9.806,9.226,399365.0
2020-03-24,9.786,9.626,9.856,9.286,320918.0
2020-03-25,9.816,9.746,10.036,9.546,414467.0
2020-03-26,9.636,9.366,9.656,9.206,415392.0
2020-03-27,9.366,9.166,9.506,9.136,329550.0
2020-03-30,8.976,9.276,9.306,8.756,348742.0
2020-03-31,9.286,8.996,9.356,8.946,209405.0
2020-04-01,9.036,8.906,9.146,8.896,165391.0
2020-04-02,8.846,9.146,9.186,8.846,259766.0
2020-04-03,9.146,8.966,9.146,8.926,173671.0
2020-04-07,9.136,9.366,9.446,9.136,238063.0
2020-04-08,9.356,9.266,9.366,9.216,197402.0
2020-04-09,9.366,9.236,9.396,9.186,192239.0
2020-04-10,9.066,8.966,9.186,8.966,246985.0
2020-04-13,8.946,9.036,9.096,8.946,120403.0
2020-04-14,9.036,9.436,9.526,8.976,357202.0
2020-04-15,9.426,9.756,9.916,9.356,349462.0
2020-04-16,9.716,9.716,9.896,9.616,214378.0
2020-04-17,9.776,9.746,10.016,9.706,261549.0
2020-04-20,9.816,9.756,9.936,9.676,189120.0
2020-04-21,9.756,9.586,9.756,9.456,178024.0
2020-04-22,9.506,9.596,9.646,9.476,152644.0
2020-04-23,9.656,9.596,9.776,9.356,314797.0
2020-04-24,9.576,9.216,9.576,9.146,406084.0
2020-04-27,9.226,9.296,9.396,9.076,252094.0
2020-04-28,9.386,9.426,9.746,9.336,402233.0
2020-04-29,9.466,9.096,9.516,9.026,257985.0
2020-04-30,9.126,9.316,9.366,9.106,266266.0
