date,open,close,high,low,volume
2023-08-21,8.222,8.172,8.322,8.172,86559.0
2023-08-22,8.182,8.112,8.282,8.022,122404.0
2023-08-23,8.112,8.042,8.162,8.032,79420.0
2023-08-24,8.042,8.052,8.152,8.032,71977.0
2023-08-25,8.032,8.082,8.182,8.002,77313.0
2023-08-28,8.462,8.032,8.492,8.002,154152.0
2023-08-29,7.922,8.092,8.102,7.902,184827.0
2023-08-30,8.072,7.942,8.102,7.922,152898.0
2023-08-31,7.922,7.732,7.942,7.692,184586.0
2023-09-01,7.732,7.832,7.922,7.732,116946.0
2023-09-04,7.842,7.982,8.012,7.822,141598.0
2023-09-05,8.002,7.982,8.022,7.922,75190.0
2023-09-06,8.012,7.992,8.012,7.912,82199.0
2023-09-07,7.972,7.852,7.992,7.852,91519.0
2023-09-08,7.852,7.842,7.882,7.802,65852.0
2023-09-11,7.852,7.992,8.042,7.832,124602.0
2023-09-12,7.982,8.032,8.052,7.952,92607.0
2023-09-13,8.072,7.922,8.072,7.892,85378.0
2023-09-14,7.932,7.942,8.002,7.882,53912.0
2023-09-15,7.932,7.982,7.982,7.862,94405.0
2023-09-18,7.902,7.902,7.932,7.772,101515.0
2023-09-19,7.902,7.862,7.902,7.802,71821.0
2023-09-20,7.852,7.822,7.902,7.822,51143.0
2023-09-21,7.802,7.782,7.852,7.752,64265.0
2023-09-22,7.762,7.882,7.902,7.762,63904.0
2023-09-25,7.882,7.852,7.882,7.822,57958.0
2023-09-26,7.862,7.762,7.872,7.752,65866.0
2023-09-27,7.762,7.792,7.842,7.742,56809.0
2023-09-28,7.782,7.792,7.842,7.782,54650.0
2023-10-09,7.792,7.742,7.812,7.722,86350.0
2023-10-10,7.752,7.662,7.792,7.652,76729.0
2023-10-11,7.662,7.672,7.732,7.652,73436.0
2023-10-12,7.702,7.842,7.872,7.692,127211.0
2023-10-13,7.862,7.862,7.912,7.812,83622.0
2023-10-16,7.852,7.702,7.882,7.682,113587.0
2023-10-17,7.692,7.702,7.732,7.662,64866.0
2023-10-18,7.702,7.602,7.702,7.582,69350.0
2023-10-19,7.582,7.462,7.592,7.442,83413.0
2023-10-20,7.442,7.482,7.582,7.402,74906.0
2023-10-23,7.482,7.222,7.492,7.102,101426.0
2023-10-24,7.292,7.302,7.352,7.172,89411.0
2023-10-25,7.322,7.252,7.412,7.252,114896.0
2023-10-26,7.232,7.132,7.232,7.002,164032.0
2023-10-27,7.062,7.332,7.382,7.022,169110.0
2023-10-30,7.362,7.432,7.442,7.322,96502.0
2023-10-31,7.452,7.482,7.582,7.422,98712.0
2023-11-01,7.492,7.552,7.562,7.462,86405.0
2023-11-02,7.582,7.422,7.602,7.412,103636.0
2023-11-03,7.472,7.492,7.542,7.422,74692.0
2023-11-06,7.552,7.652,7.672,7.522,126407.0
2023-11-07,7.652,7.642,7.672,7.572,77573.0
2023-11-08,7.672,7.582,7.672,7.542,79649.0
2023-11-09,7.592,7.582,7.672,7.572,75922.0
2023-11-10,7.572,7.522,7.572,7.512,56643.0
2023-11-13,7.522,7.582,7.612,7.402,130921.0
2023-11-14,7.572,7.562,7.632,7.542,85706.0
2023-11-15,7.612,7.862,7.952,7.582,305782.0
2023-11-16,7.852,7.692,7.862,7.682,169689.0
2023-11-17,7.652,7.752,7.832,7.652,125951.0
2023-11-20,7.772,7.732,7.802,7.652,119797.0
2023-11-21,7.742,7.702,7.782,7.672,86762.0
2023-11-22,7.682,7.602,7.722,7.602,75461.0
2023-11-23,7.612,7.642,7.662,7.592,75989.0
2023-11-24,7.642,7.562,7.652,7.542,85538.0
2023-11-27,7.542,7.512,7.582,7.452,78409.0
2023-11-28,7.512,7.532,7.532,7.422,79841.0
2023-11-29,7.532,7.422,7.532,7.412,61041.0
2023-11-30,7.422,7.372,7.452,7.322,69503.0
2023-12-01,7.352,7.322,7.422,7.312,84117.0
2023-12-04,7.342,7.312,7.362,7.282,83995.0
2023-12-05,7.322,7.192,7.322,7.182,86169.0
2023-12-06,7.252,7.282,7.352,7.222,109661.0
2023-12-07,7.282,7.392,7.432,7.212,147746.0
2023-12-08,7.412,7.432,7.502,7.372,152907.0
2023-12-11,7.412,7.622,7.662,7.302,167779.0
2023-12-12,7.622,7.532,7.642,7.492,91165.0
2023-12-13,7.532,7.522,7.602,7.502,74375.0
2023-12-14,7.552,7.482,7.592,7.472,61628.0
2023-12-15,7.502,7.422,7.552,7.412,74372.0
2023-12-18,7.452,7.332,7.462,7.302,69192.0
2023-12-19,7.302,7.372,7.512,7.262,109337.0
2023-12-20,7.412,7.612,7.702,7.412,295587.0
2023-12-21,7.502,7.312,7.502,7.212,322635.0
2023-12-22,7.292,7.642,7.712,7.162,526079.0
2023-12-25,7.582,7.502,7.612,7.442,313062.0
2023-12-26,7.482,7.762,7.802,7.382,530145.0
2023-12-27,7.682,7.712,7.742,7.582,319848.0
2023-12-28,7.732,7.712,7.812,7.612,391386.0
2023-12-29,7.672,7.792,7.862,7.622,441959.0
2024-01-02,7.772,7.692,7.822,7.672,308630.0
2024-01-03,7.642,7.562,7.682,7.502,282192.0
2024-01-04,7.552,7.422,7.552,7.402,190346.0
2024-01-05,7.402,7.312,7.482,7.292,160202.0
2024-01-08,7.272,7.262,7.342,7.222,130018.0
2024-01-09,7.282,7.252,7.362,7.202,124347.0
2024-01-10,7.242,7.152,7.272,7.102,119132.0
2024-01-11,7.152,7.222,7.242,7.112,123989.0
2024-01-12,7.192,7.212,7.302,7.182,112450.0
2024-01-15,7.162,7.022,7.202,7.022,158276.0
2024-01-16,7.002,6.992,7.072,6.922,124531.0
2024-01-17,6.952,6.822,6.972,6.822,111244.0
2024-01-18,6.802,6.812,6.822,6.572,187482.0
2024-01-19,6.772,6.712,6.852,6.712,77212.0
2024-01-22,6.722,6.402,6.762,6.402,134065.0
2024-01-23,6.382,6.472,6.512,6.312,110485.0
2024-01-24,6.502,6.542,6.552,6.312,106468.0
2024-01-25,6.552,6.692,6.702,6.512,129731.0
2024-01-26,6.682,6.672,6.782,6.652,111299.0
2024-01-29,6.672,6.572,6.722,6.532,100935.0
2024-01-30,6.282,6.132,6.332,6.012,214509.0
2024-01-31,6.072,5.972,6.152,5.972,145118.0
2024-02-01,5.952,6.002,6.092,5.862,132598.0
2024-02-02,6.002,5.882,6.062,5.702,181944.0
2024-02-05,5.842,6.012,6.032,5.432,271345.0
2024-02-06,5.962,6.442,6.482,5.852,243061.0
2024-02-07,6.442,7.052,7.082,6.392,474210.0
2024-02-08,7.082,7.032,7.482,7.022,427652.0
