date,open,close,high,low,volume
2023-07-10,4.487,4.497,4.517,4.457,799509.0
2023-07-11,4.517,4.517,4.547,4.477,1135663.0
2023-07-12,4.54,4.52,4.58,4.51,1444568.0
2023-07-13,4.53,4.6,4.61,4.53,1230056.0
2023-07-14,4.6,4.67,4.71,4.57,1228938.0
2023-07-17,4.66,4.61,4.66,4.56,884394.0
2023-07-18,4.62,4.59,4.63,4.59,608792.0
2023-07-19,4.58,4.61,4.63,4.56,532288.0
2023-07-20,4.62,4.65,4.68,4.61,685335.0
2023-07-21,4.63,4.64,4.67,4.62,418569.0
2023-07-24,4.62,4.61,4.65,4.58,504337.0
2023-07-25,4.65,4.69,4.72,4.63,1021395.0
2023-07-26,4.69,4.71,4.73,4.68,466095.0
2023-07-27,4.73,4.77,4.81,4.71,949159.0
2023-07-28,4.77,4.87,4.89,4.72,1194804.0
2023-07-31,4.9,4.91,4.97,4.86,1323915.0
2023-08-01,4.89,4.89,4.95,4.87,775852.0
2023-08-02,4.87,4.75,4.87,4.72,1229188.0
2023-08-03,4.77,4.8,4.81,4.72,827547.0
2023-08-04,4.82,4.79,4.87,4.78,907342.0
2023-08-07,4.77,4.74,4.78,4.7,946015.0
2023-08-08,4.73,4.7,4.75,4.69,732638.0
2023-08-09,4.7,4.71,4.73,4.69,566262.0
2023-08-10,4.71,4.71,4.73,4.68,591089.0
2023-08-11,4.72,4.63,4.73,4.63,908003.0
2023-08-14,4.59,4.56,4.6,4.54,925251.0
2023-08-15,4.56,4.7,4.71,4.56,1157873.0
2023-08-16,4.67,4.69,4.72,4.61,745387.0
2023-08-17,4.67,4.62,4.7,4.59,920696.0
2023-08-18,4.61,4.66,4.71,4.61,730403.0
2023-08-21,4.66,4.55,4.67,4.55,1015448.0
2023-08-22,4.56,4.65,4.65,4.55,879506.0
2023-08-23,4.64,4.66,4.72,4.62,858296.0
2023-08-24,4.7,4.64,4.71,4.61,613822.0
2023-08-25,4.64,4.67,4.7,4.63,641549.0
2023-08-28,4.87,4.72,4.93,4.7,1398510.0
2023-08-29,4.72,4.64,4.74,4.63,1176512.0
2023-08-30,4.64,4.62,4.65,4.59,797617.0
2023-08-31,4.63,4.64,4.68,4.62,860898.0
2023-09-01,4.65,4.62,4.68,4.61,618817.0
2023-09-04,4.65,4.69,4.7,4.62,821799.0
2023-09-05,4.69,4.64,4.69,4.63,596585.0
2023-09-06,4.63,4.65,4.66,4.62,518405.0
2023-09-07,4.65,4.66,4.69,4.64,557653.0
2023-09-08,4.66,4.63,4.66,4.62,414191.0
2023-09-11,4.64,4.63,4.66,4.61,796580.0
2023-09-12,4.63,4.62,4.64,4.61,446627.0
2023-09-13,4.63,4.65,4.67,4.61,837190.0
2023-09-14,4.65,4.74,4.74,4.64,1645442.0
2023-09-15,4.74,4.74,4.81,4.71,1241859.0
2023-09-18,4.74,4.74,4.76,4.7,694072.0
2023-09-19,4.75,4.8,4.8,4.74,965507.0
2023-09-20,4.8,4.84,4.85,4.77,768778.0
2023-09-21,4.84,4.83,4.87,4.8,775342.0
2023-09-22,4.84,4.87,4.87,4.76,1164381.0
2023-09-25,4.87,4.91,4.93,4.83,1014742.0
2023-09-26,4.91,4.89,4.93,4.88,614241.0
2023-09-27,4.91,4.84,4.92,4.84,687718.0
2023-09-28,4.86,4.85,4.89,4.84,511571.0
2023-10-09,4.82,4.86,4.89,4.8,672971.0
2023-10-10,4.89,4.86,4.91,4.85,630806.0
2023-10-11,4.88,4.84,4.89,4.83,603000.0
2023-10-12,4.9,5.0,5.01,4.88,1614461.0
2023-10-13,4.95,5.04,5.09,4.95,1308095.0
2023-10-16,5.04,5.06,5.07,5.0,716711.0
2023-10-17,5.06,5.06,5.07,5.04,577031.0
2023-10-18,5.05,5.04,5.09,5.02,801783.0
2023-10-19,5.03,4.93,5.04,4.91,1120821.0
2023-10-20,4.91,4.89,4.93,4.85,830041.0
2023-10-23,4.9,4.89,4.94,4.86,792400.0
2023-10-24,4.9,4.8,4.91,4.79,1001956.0
2023-10-25,4.85,4.87,4.89,4.79,757447.0
2023-10-26,4.87,4.93,5.01,4.86,837935.0
2023-10-27,4.94,4.91,4.97,4.89,847117.0
2023-10-30,4.89,4.68,4.89,4.65,2412061.0
2023-10-31,4.67,4.72,4.74,4.64,1110249.0
2023-11-01,4.73,4.8,4.82,4.7,944423.0
2023-11-02,4.83,4.85,4.89,4.8,814971.0
2023-11-03,4.85,4.8,4.86,4.8,626451.0
2023-11-06,4.79,4.75,4.83,4.74,1083744.0
2023-11-07,4.75,4.85,4.87,4.75,1007952.0
2023-11-08,4.84,4.85,4.9,4.83,1132067.0
2023-11-09,4.86,4.9,4.94,4.84,986886.0
2023-11-10,4.89,4.91,4.98,4.88,1084589.0
2023-11-13,4.91,4.87,4.91,4.81,713988.0
2023-11-14,4.9,4.88,4.96,4.87,698964.0
2023-11-15,4.92,4.9,4.92,4.86,544986.0
2023-11-16,4.9,4.91,4.93,4.89,679250.0
2023-11-17,4.9,4.88,4.92,4.86,737806.0
2023-11-20,4.9,4.94,4.94,4.86,787839.0
2023-11-21,4.95,4.93,4.97,4.92,782605.0
2023-11-22,4.93,4.96,4.97,4.91,995571.0
2023-11-23,4.95,4.93,4.97,4.92,730755.0
2023-11-24,4.93,4.93,4.96,4.91,715813.0
2023-11-27,4.93,4.92,4.94,4.86,1044077.0
2023-11-28,4.92,4.86,4.93,4.86,962311.0
2023-11-29,4.87,4.81,4.88,4.79,1197925.0
2023-11-30,4.82,4.93,4.93,4.81,1752577.0
2023-12-01,4.93,4.87,4.96,4.86,1032427.0
2023-12-04,4.89,4.89,4.92,4.87,815208.0
2023-12-05,4.89,4.86,4.92,4.86,915169.0
2023-12-06,4.87,4.8,4.88,4.71,1227416.0
2023-12-07,4.8,4.81,4.84,4.76,904370.0
2023-12-08,4.81,4.8,4.84,4.77,1115348.0
2023-12-11,4.8,4.82,4.82,4.69,1378721.0
2023-12-12,4.8,4.92,4.93,4.78,1528994.0
2023-12-13,4.91,4.92,4.95,4.9,1216037.0
2023-12-14,4.92,4.91,4.93,4.84,1005642.0
2023-12-15,4.92,4.82,4.92,4.82,892834.0
2023-12-18,4.82,4.89,4.92,4.79,1133446.0
2023-12-19,4.88,4.88,4.92,4.86,761584.0
2023-12-20,4.89,4.87,4.92,4.86,749591.0
2023-12-21,4.86,4.86,4.88,4.83,940307.0
2023-12-22,4.87,4.87,4.9,4.86,759242.0
2023-12-25,4.87,4.87,4.89,4.85,494448.0
2023-12-26,4.88,4.87,4.9,4.86,650046.0
2023-12-27,4.86,4.9,4.91,4.83,1083588.0
2023-12-28,4.9,4.83,4.94,4.82,1755364.0
2023-12-29,4.83,4.83,4.85,4.81,879966.0
2024-01-02,4.85,4.87,4.91,4.83,1252778.0
2024-01-03,4.87,4.94,4.95,4.86,1564273.0
2024-01-04,4.93,4.99,4.99,4.93,1263685.0
2024-01-05,4.98,5.0,5.07,4.97,1362116.0
